STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACMH,ACSH,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDFG,WESD,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/26/1990,10,10,16.55,1631,0,0,0,,51,27,677,315,,49.4,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/27/1990,0,0,12.75,56,0,0,0,,37,20,739,360,,25.3,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/28/1990,20,30,14.99,1523,0,0,0,,48,25,751,270,,34.4,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/29/1990,50,50,13.42,1621,0,0,0,,37,29,735,135,,21.9,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/30/1990,100,100,15.88,1243,0.56,0.5,0,,38,32,0,90,,25.3,1,,,1,,,,,,,,,1,,1,,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/31/1990,100,100,13.42,612,0,0,0,,39,34,0,360,,25.3,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/1/1990,90,100,10.29,304,0,0,0,,40,35,179,360,,18.3,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/2/1990,100,100,8.72,1701,0,0,0,,42,37,0,90,,16.1,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/3/1990,100,100,18.57,1554,2.3,0,0,,40,38,0,45,,35.6,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/4/1990,100,100,17.9,136,0.61,0,0,,48,40,19,45,,41.4,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/5/1990,50,60,17.67,1225,0,0,0,,55,39,632,270,,36.7,,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/6/1990,100,100,14.54,1415,0,0,0,,53,39,254,270,,30,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/7/1990,70,80,14.09,2034,0.08,0.5,0,,46,31,419,315,,30,1,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/8/1990,40,70,15.21,1512,0,0,0,,47,32,690,270,,30,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/9/1990,30,20,14.99,1756,0,0,0,,60,36,669,225,,31.1,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/10/1990,100,100,19.69,2046,0.01,0,0,,61,46,126,225,,41.4,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/11/1990,90,100,21.47,119,0.25,0,0,,58,38,319,225,,55.3,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/12/1990,0,10,18.34,1342,0,0,0,,48,35,760,270,,36.7,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/13/1990,10,20,12.97,1615,0,0,0,,47,31,792,90,,25.3,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/14/1990,50,40,14.99,1805,0,0,0,,55,32,719,180,,28.9,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/15/1990,100,100,11.63,1757,1.04,0,0,,54,42,0,225,,21.9,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/16/1990,20,10,11.86,1629,0,0,0,,65,45,797,270,,27.5,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/17/1990,70,100,16.78,1123,0.2,0,0,,55,40,145,180,,36.7,,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/18/1990,20,30,17.22,1548,0,0,0,,50,35,770,315,,38,,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/19/1990,0,0,13.65,1543,0,0,0,,57,35,813,225,,31.1,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/20/1990,100,100,19.91,1034,0,0,0,,61,42,432,225,,33.3,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/21/1990,100,100,11.86,225,0.48,0,0,,56,47,0,225,,24.2,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/22/1990,40,30,12.53,1624,0,0,0,,55,46,759,90,,23,1,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/23/1990,0,0,10.29,1343,0,0,0,,60,46,824,90,,25.3,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,4/24/1990,50,60,12.53,1045,0,0,0,,52,42,782,90,,21.9,,,,,,,,,,,,,,,,,,,,
