,Crash Number,Crash Date,Crash Severity,Ambient Light
8440,2653114,9/27/2010,Property damage only (none injured),Dark - lighted roadway
8441,2653160,10/22/2010,Non-fatal injury,Dark - lighted roadway
8442,2653280,10/17/2010,Property damage only (none injured),Daylight
8443,2653284,10/18/2010,Property damage only (none injured),Daylight
8444,2653550,9/22/2010,Property damage only (none injured),Daylight
8445,2653970,10/16/2010,Not Reported,Daylight
8446,2653993,10/15/2010,Property damage only (none injured),Daylight
8447,2653994,10/18/2010,Property damage only (none injured),Dark - lighted roadway
8448,2653995,10/14/2010,Property damage only (none injured),Dark - lighted roadway
8449,2654486,10/27/2010,Property damage only (none injured),Daylight
8450,2654487,10/27/2010,Property damage only (none injured),Daylight
8451,2654653,10/15/2010,Property damage only (none injured),Daylight
8452,2654860,10/26/2010,Property damage only (none injured),Dark - lighted roadway
8453,2654965,8/18/2009,Property damage only (none injured),Daylight
8454,2655189,8/4/2009,Unknown,Daylight
8455,2655473,7/13/2009,Not Reported,Daylight
8456,2655541,9/18/2010,Non-fatal injury,Daylight
8457,2655574,9/4/2009,Property damage only (none injured),Daylight
8458,2655594,6/4/2009,Non-fatal injury,Daylight
8459,2655957,10/26/2010,Property damage only (none injured),Daylight
8460,2655958,10/26/2010,Property damage only (none injured),Daylight
8461,2656545,9/26/2010,Not Reported,Dark - lighted roadway
8462,2656546,10/28/2010,Non-fatal injury,Dark - lighted roadway
8463,2656645,8/27/2009,Property damage only (none injured),Daylight
8464,2656729,11/3/2010,Non-fatal injury,Dark - lighted roadway
8465,2656913,10/23/2010,Non-fatal injury,Not reported
8466,2656916,10/25/2010,Property damage only (none injured),Dark - lighted roadway
8467,2656918,10/17/2010,Non-fatal injury,Daylight
8468,2656920,10/22/2010,Property damage only (none injured),Daylight
8469,2657138,10/29/2010,Non-fatal injury,Daylight
8470,2657194,6/29/2009,Non-fatal injury,Daylight
8471,2657343,10/24/2010,Property damage only (none injured),Daylight
8472,2657345,11/3/2010,Property damage only (none injured),Dark - lighted roadway
8473,2657546,11/2/2010,Non-fatal injury,Daylight
8474,2657737,8/18/2009,Property damage only (none injured),Daylight
8475,2657772,10/29/2010,Property damage only (none injured),Daylight
8476,2657964,11/6/2010,Non-fatal injury,Dark - lighted roadway
8477,2657992,10/26/2010,Non-fatal injury,Dark - lighted roadway
8478,2658021,8/6/2009,Property damage only (none injured),Daylight
8479,2658038,10/28/2010,Property damage only (none injured),Daylight
8480,2658577,10/29/2010,Non-fatal injury,Dark - lighted roadway
8481,2658624,11/6/2010,Property damage only (none injured),Daylight
8482,2658625,11/8/2010,Property damage only (none injured),Dark - lighted roadway
8483,2658979,10/2/2009,Property damage only (none injured),Daylight
8484,2659036,10/25/2010,Property damage only (none injured),Daylight
8485,2659037,10/26/2010,Not Reported,Daylight
8486,2659042,10/22/2010,Not Reported,Not reported
8487,2659043,10/31/2010,Non-fatal injury,Dark - lighted roadway
8488,2659114,11/5/2010,Property damage only (none injured),Dark - lighted roadway
8489,2659279,11/5/2010,Non-fatal injury,Daylight
8490,2659281,11/5/2010,Property damage only (none injured),Daylight
8491,2659283,11/5/2010,Property damage only (none injured),Dark - lighted roadway
8492,2660156,1/23/2010,Non-fatal injury,Daylight
8493,2660332,1/3/2010,Not Reported,Daylight
8494,2660335,1/21/2010,Not Reported,Daylight
8495,2661743,8/23/2009,Non-fatal injury,Daylight
8496,2662920,11/4/2010,Non-fatal injury,Dark - lighted roadway
8497,2662924,11/11/2010,Non-fatal injury,Dark - lighted roadway
8498,2662929,11/14/2010,Non-fatal injury,Dusk
8499,2662930,11/15/2010,Property damage only (none injured),Daylight
8500,2663636,9/9/2010,Property damage only (none injured),Daylight
8501,2663638,11/8/2010,Property damage only (none injured),Dark - lighted roadway
8502,2663640,11/16/2010,Property damage only (none injured),Daylight
8503,2663812,11/21/2010,Property damage only (none injured),Daylight
8504,2664378,11/16/2010,Property damage only (none injured),Daylight
8505,2664380,11/18/2010,Property damage only (none injured),Daylight
8506,2664785,11/9/2010,Property damage only (none injured),Daylight
8507,2665047,11/9/2010,Non-fatal injury,Daylight
8508,2665262,11/29/2010,Property damage only (none injured),Daylight
8509,2666148,11/13/2010,Non-fatal injury,Dark - lighted roadway
8510,2666150,11/14/2010,Non-fatal injury,Dark - lighted roadway
8511,2666151,11/18/2010,Property damage only (none injured),Daylight
8512,2666258,10/31/2010,Property damage only (none injured),Dark - lighted roadway
8513,2667308,11/17/2010,Property damage only (none injured),Daylight
8514,2667310,11/8/2010,Property damage only (none injured),Daylight
8515,2667312,11/8/2010,Property damage only (none injured),Daylight
8516,2667315,11/9/2010,Not Reported,Daylight
8517,2667321,11/11/2010,Property damage only (none injured),Not reported
