lat,long,og
42.30994829999999,-71.3530025,"(42.30994829999999, -71.3530025)"
42.3101619,-71.3527241,"(42.3101619, -71.3527241)"
42.3101619,-71.3527241,"(42.3101619, -71.3527241)"
42.2852644,-71.34125379999999,"(42.2852644, -71.34125379999999)"
42.2759001,-71.3277177,"(42.2759001, -71.3277177)"
42.2759001,-71.3277177,"(42.2759001, -71.3277177)"
42.2862549,-71.3366954,"(42.2862549, -71.3366954)"
42.2898204,-71.3286897,"(42.2898204, -71.3286897)"
42.2900804,-71.3281909,"(42.2900804, -71.3281909)"
42.2981199,-71.3317541,"(42.2981199, -71.3317541)"
42.2981199,-71.3317541,"(42.2981199, -71.3317541)"
42.2981199,-71.3317541,"(42.2981199, -71.3317541)"
42.2981199,-71.3317541,"(42.2981199, -71.3317541)"
42.2917299,-71.3259918,"(42.2917299, -71.3259918)"
42.2917299,-71.3259918,"(42.2917299, -71.3259918)"
42.3070542,-71.3594208,"(42.3070542, -71.3594208)"
42.3070542,-71.3594208,"(42.3070542, -71.3594208)"
42.30716229999999,-71.3583568,"(42.30716229999999, -71.3583568)"
42.3049355,-71.35604119999999,"(42.3049355, -71.35604119999999)"
42.2815159,-71.3460302,"(42.2815159, -71.3460302)"
42.28173169999999,-71.3446982,"(42.28173169999999, -71.3446982)"
42.2713464,-71.3661777,"(42.2713464, -71.3661777)"
42.2713464,-71.3661777,"(42.2713464, -71.3661777)"
42.2708902,-71.36689679999999,"(42.2708902, -71.36689679999999)"
42.27072080000001,-71.3662878,"(42.27072080000001, -71.3662878)"
42.2702191,-71.36877559999999,"(42.2702191, -71.36877559999999)"
42.27685090000001,-71.3438863,"(42.27685090000001, -71.3438863)"
42.27685090000001,-71.3438863,"(42.27685090000001, -71.3438863)"
42.27685090000001,-71.3438863,"(42.27685090000001, -71.3438863)"
42.27685090000001,-71.3438863,"(42.27685090000001, -71.3438863)"
42.27685090000001,-71.3438863,"(42.27685090000001, -71.3438863)"
42.27685090000001,-71.3438863,"(42.27685090000001, -71.3438863)"
42.2988679,-71.3313366,"(42.2988679, -71.3313366)"
