,Name,GRADE,API_AD,coord,Lat,Lon,Color
263,149 HAWTHORN ST CHELSEA MA,Average,149+HAWTHORN+ST+CHELSEA+MA,"(42.3917714, -71.03440859999999)",42.3986624,-71.0327951,orange
264,8 CHESTER AV CHELSEA MA,Average,8+CHESTER+AV+CHELSEA+MA,"(42.3917396, -71.0342229)",42.3990277,-71.0327439,orange
265,159 SHURTLEFF ST CHELSEA MA,Average,159+SHURTLEFF+ST+CHELSEA+MA,"(42.39146480000001, -71.033538)",42.3988385,-71.0329576,orange
266,25 CHESTER AV CHELSEA MA,Average,25+CHESTER+AV+CHELSEA+MA,"(42.3912686, -71.0334273)",42.3990364,-71.0332226,orange
267,151 SHURTLEFF ST CHELSEA MA,Average,151+SHURTLEFF+ST+CHELSEA+MA,"(42.3912734, -71.03366570000001)",42.3990973,-71.03336190000002,orange
268,147 SHURTLEFF ST CHELSEA MA,Average,147+SHURTLEFF+ST+CHELSEA+MA,"(42.3911476, -71.0336889)",42.3991874,-71.03345470000001,orange
269,137 SHURTLEFF ST CHELSEA MA,Average,137+SHURTLEFF+ST+CHELSEA+MA,"(42.39085900000001, -71.033782)",42.3995528,-71.0333629,orange
270,116 SHURTLEFF ST CHELSEA MA,Average,116+SHURTLEFF+ST+CHELSEA+MA,"(42.3904521, -71.03450149999999)",42.3996199,-71.0333926,orange
271,128 SHURTLEFF ST CHELSEA MA,Average,128+SHURTLEFF+ST+CHELSEA+MA,"(42.390759, -71.034477)",42.3997113,-71.0340488,orange
272,148 SHURTLEFF ST CHELSEA MA,Average,148+SHURTLEFF+ST+CHELSEA+MA,"(42.3911766, -71.0340628)",42.3999947,-71.03386300000001,orange
273,135 HAWTHORN ST CHELSEA MA,Average,135+HAWTHORN+ST+CHELSEA+MA,"(42.3913727, -71.0345711)",42.4002477,-71.0345827,orange
274,121 HAWTHORN ST CHELSEA MA,Average +10,121+HAWTHORN+ST+CHELSEA+MA,"(42.391057, -71.034696)",42.400525,-71.0344269,orange
275,113 HAWTHORN ST CHELSEA MA,Average,113+HAWTHORN+ST+CHELSEA+MA,"(42.390763, -71.0348866)",42.4004245,-71.0348033,orange
276,43506 CENTRAL AV CHELSEA MA,Average,43506+CENTRAL+AV+CHELSEA+MA,"(42.3889558, -71.03010309999999)",42.4006973,-71.03466399999999,orange
277,43813 CENTRAL AV CHELSEA MA,Average,43813+CENTRAL+AV+CHELSEA+MA,"(42.3889558, -71.03010309999999)",42.4006205,-71.0350818,orange
278,184 PEARL ST CHELSEA MA,Average +10,184+PEARL+ST+CHELSEA+MA,"(42.3912395, -71.0352559)",42.4007476,-71.0351747,orange
279,130 HAWTHORN ST CHELSEA MA,Average +10,130+HAWTHORN+ST+CHELSEA+MA,"(42.3915443, -71.0349528)",42.4008324,-71.0348033,orange
280,130 HAWTHORN ST CHELSEA MA,Average +20,130+HAWTHORN+ST+CHELSEA+MA,"(42.3915443, -71.0349528)",42.4008536,-71.0353604,orange
281,9 FOURTH ST CHELSEA MA,Average,9+FOURTH+ST+CHELSEA+MA,"(42.3913922, -71.0353579)",42.4011185,-71.0351747,orange
282,221 CHESTNUT ST CHELSEA MA,Average +10,221+CHESTNUT+ST+CHELSEA+MA,"(42.392743, -71.035866)",42.4009436,-71.0354533,orange
283,219 CHESTNUT ST CHELSEA MA,Average +10,219+CHESTNUT+ST+CHELSEA+MA,"(42.39270519999999, -71.0359344)",42.401379,-71.035432,orange
284,217 CHESTNUT ST CHELSEA MA,Average +10,217+CHESTNUT+ST+CHELSEA+MA,"(42.392669, -71.03599679999999)",42.4011958,-71.03570549999999,orange
285,215 CHESTNUT ST CHELSEA MA,Average +10,215+CHESTNUT+ST+CHELSEA+MA,"(42.3926294, -71.0360633)",42.40121380000001,-71.0357319,orange
286,213 CHESTNUT ST CHELSEA MA,Average +10,213+CHESTNUT+ST+CHELSEA+MA,"(42.39258969999999, -71.0361297)",42.4013939,-71.03591759999999,orange
287,209-211 CHESTNUT ST CHELSEA MA,Average +10,209-211+CHESTNUT+ST+CHELSEA+MA,"(42.3925104, -71.0362626)",42.4018627,-71.03605689999999,orange
288,207 CHESTNUT ST CHELSEA MA,Average +10,207+CHESTNUT+ST+CHELSEA+MA,"(42.3924708, -71.036329)",42.4019448,-71.0361033,orange
289,60 BELLINGHAM ST CHELSEA MA,Average,60+BELLINGHAM+ST+CHELSEA+MA,"(42.3922749, -71.0317156)",42.39622079999999,-71.03283979999999,orange
290,74 BELLINGHAM ST CHELSEA MA,Average,74+BELLINGHAM+ST+CHELSEA+MA,"(42.3920219, -71.0309959)",42.39622079999999,-71.03283979999999,orange
291,86 BELLINGHAM ST CHELSEA MA,Average,86+BELLINGHAM+ST+CHELSEA+MA,"(42.3919039, -71.0304309)",42.3962306,-71.032888,orange
292,51 GROVE ST CHELSEA MA,Average,51+GROVE+ST+CHELSEA+MA,"(42.3925147, -71.0312745)",42.3963315,-71.0330125,orange
293,88 GROVE ST CHELSEA MA,Average,88+GROVE+ST+CHELSEA+MA,"(42.39228749999999, -71.0295682)",42.3966128,-71.0328996,orange
294,93 BELLINGHAM ST CHELSEA MA,Average,93+BELLINGHAM+ST+CHELSEA+MA,"(42.391429, -71.030418)",42.396717,-71.032999,orange
295,136 HIGHLAND ST CHELSEA MA,Average,136+HIGHLAND+ST+CHELSEA+MA,"(42.3907874, -71.02941729999999)",42.3967525,-71.03312009999999,orange
296,35 COTTAGE ST CHELSEA MA,Average,35+COTTAGE+ST+CHELSEA+MA,"(42.3910814, -71.03113520000001)",42.3972677,-71.03374699999999,orange
297,133 SHAWMUT ST CHELSEA MA,Average,133+SHAWMUT+ST+CHELSEA+MA,"(42.39126950000001, -71.03266750000002)",42.3972975,-71.0337586,orange
298,48 CHESTER AV CHELSEA MA,Average,48+CHESTER+AV+CHELSEA+MA,"(42.39117359999999, -71.03242829999999)",42.397124,-71.03415319999999,orange
299,64 CHESTER AV CHELSEA MA,Average,64+CHESTER+AV+CHELSEA+MA,"(42.390981, -71.03173629999999)",42.3975081,-71.03401389999999,orange
301,129 LIBRARY ST CHELSEA MA,Average,129+LIBRARY+ST+CHELSEA+MA,"(42.392407, -71.026979)",42.3974312,-71.0344318,orange
